fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
96-19236,Operational Measures To Reduce Oil Spills From Existing Tank Vessels Without Double Hulls,1996-07-30,https://www.govinfo.gov/content/pkg/FR-1996-07-30/pdf/96-19236.pdf,https://www.federalregister.gov/documents/1996/07/30/96-19236/operational-measures-to-reduce-oil-spills-from-existing-tank-vessels-without-double-hulls,,www.govinfo.gov,Rule,policy letter
96-20020,Facilities Transferring Oil or Hazardous Materials in Bulk,1996-08-08,https://www.govinfo.gov/content/pkg/FR-1996-08-08/pdf/96-20020.pdf,https://www.federalregister.gov/documents/1996/08/08/96-20020/facilities-transferring-oil-or-hazardous-materials-in-bulk,,www.govinfo.gov,Rule,policy letter
96-24834,Technical Amendments; Organizational Changes; Miscellaneous Editorial Changes and Conforming Amendments,1996-09-27,https://www.govinfo.gov/content/pkg/FR-1996-09-27/pdf/96-24834.pdf,https://www.federalregister.gov/documents/1996/09/27/96-24834/technical-amendments-organizational-changes-miscellaneous-editorial-changes-and-conforming,,www.govinfo.gov,Rule,NMC Policy Letter
96-27733,Privacy Act of 1974: Annual Publication of Systems of Records,1996-10-31,https://www.govinfo.gov/content/pkg/FR-1996-10-31/pdf/96-27733.pdf,https://www.federalregister.gov/documents/1996/10/31/96-27733/privacy-act-of-1974-annual-publication-of-systems-of-records,,www.govinfo.gov,Notice,policy letter
96-28082,Electronic Records of Shipping Articles and Certificates of Discharge,1996-11-04,https://www.govinfo.gov/content/pkg/FR-1996-11-04/pdf/96-28082.pdf,https://www.federalregister.gov/documents/1996/11/04/96-28082/electronic-records-of-shipping-articles-and-certificates-of-discharge,,www.govinfo.gov,Rule,NMC Policy Letter
96-28406,Commercial Fishing Industry Vessel Regulations,1996-11-05,https://www.govinfo.gov/content/pkg/FR-1996-11-05/pdf/96-28406.pdf,https://www.federalregister.gov/documents/1996/11/05/96-28406/commercial-fishing-industry-vessel-regulations,,www.govinfo.gov,Rule,policy letter
96-28651,"Drawbridge Operation Regulations; Anacostia River, Washington, DC",1996-11-07,https://www.govinfo.gov/content/pkg/FR-1996-11-07/pdf/96-28651.pdf,https://www.federalregister.gov/documents/1996/11/07/96-28651/drawbridge-operation-regulations-anacostia-river-washington-dc,,www.govinfo.gov,Rule,policy letter
96-28407,Harmonization With International Safety Standards,1996-11-19,https://www.govinfo.gov/content/pkg/FR-1996-11-19/pdf/96-28407.pdf,https://www.federalregister.gov/documents/1996/11/19/96-28407/harmonization-with-international-safety-standards,,www.govinfo.gov,Proposed Rule,policy letter
97-8509,Streamlined Inspection Program,1997-04-08,https://www.govinfo.gov/content/pkg/FR-1997-04-08/pdf/97-8509.pdf,https://www.federalregister.gov/documents/1997/04/08/97-8509/streamlined-inspection-program,,www.govinfo.gov,Proposed Rule,policy letter
97-9247,"Drawbridge Operation Regulations; Manchester Harbor, Massachusetts",1997-04-11,https://www.govinfo.gov/content/pkg/FR-1997-04-11/pdf/97-9247.pdf,https://www.federalregister.gov/documents/1997/04/11/97-9247/drawbridge-operation-regulations-manchester-harbor-massachusetts,,www.govinfo.gov,Proposed Rule,policy letter
97-11189,International Management Code for the Safe Operation of Ships and for Pollution Prevention (International Safety Management (ISM) Code),1997-05-01,https://www.govinfo.gov/content/pkg/FR-1997-05-01/pdf/97-11189.pdf,https://www.federalregister.gov/documents/1997/05/01/97-11189/international-management-code-for-the-safe-operation-of-ships-and-for-pollution-prevention,,www.govinfo.gov,Proposed Rule,policy letter
97-11779,Qualifications for Tankermen and for Persons in Charge of Transfers of Dangerous Liquids and Liquefied Gases,1997-05-08,https://www.govinfo.gov/content/pkg/FR-1997-05-08/pdf/97-11779.pdf,https://www.federalregister.gov/documents/1997/05/08/97-11779/qualifications-for-tankermen-and-for-persons-in-charge-of-transfers-of-dangerous-liquids-and,,www.govinfo.gov,Rule,NMC Policy Letter
97-11897,Inflatable Liferafts,1997-05-09,https://www.govinfo.gov/content/pkg/FR-1997-05-09/pdf/97-11897.pdf,https://www.federalregister.gov/documents/1997/05/09/97-11897/inflatable-liferafts,,www.govinfo.gov,Rule,policy letter
97-13513,Application for Recertification of Prince William Sound Regional Citizens' Advisory Council,1997-05-22,https://www.govinfo.gov/content/pkg/FR-1997-05-22/pdf/97-13513.pdf,https://www.federalregister.gov/documents/1997/05/22/97-13513/application-for-recertification-of-prince-william-sound-regional-citizens-advisory-council,,www.govinfo.gov,Notice,policy letter
97-13515,Application for Recertification of Cook Inlet Regional Citizens' Advisory Council,1997-05-22,https://www.govinfo.gov/content/pkg/FR-1997-05-22/pdf/97-13515.pdf,https://www.federalregister.gov/documents/1997/05/22/97-13515/application-for-recertification-of-cook-inlet-regional-citizens-advisory-council,,www.govinfo.gov,Notice,policy letter
97-16523,Programs for Chemical Drug and Alcohol Testing of Commercial Vessel Personnel; Implementation of Drug Testing in Foreign Waters,1997-06-24,https://www.govinfo.gov/content/pkg/FR-1997-06-24/pdf/97-16523.pdf,https://www.federalregister.gov/documents/1997/06/24/97-16523/programs-for-chemical-drug-and-alcohol-testing-of-commercial-vessel-personnel-implementation-of-drug,,www.govinfo.gov,Rule,policy letter
97-16109,"Implementation of the 1995 Amendments to the International Convention on Standards of Training, Certification and Watchkeeping for Seafarers, 1978 (STCW)",1997-06-26,https://www.govinfo.gov/content/pkg/FR-1997-06-26/pdf/97-16109.pdf,https://www.federalregister.gov/documents/1997/06/26/97-16109/implementation-of-the-1995-amendments-to-the-international-convention-on-standards-of-training,,www.govinfo.gov,Rule,NMC Policy Letter
97-19780,"Regulated Navigation Area; Delaware Bay and River, Salem River, Christina River, and Schuylkill River",1997-07-28,https://www.govinfo.gov/content/pkg/FR-1997-07-28/pdf/97-19780.pdf,https://www.federalregister.gov/documents/1997/07/28/97-19780/regulated-navigation-area-delaware-bay-and-river-salem-river-christina-river-and-schuylkill-river,,www.govinfo.gov,Rule,policy letter
97-22674,"Drawbridge Operation Regulations; Ship Channel, Great Egg Harbor Bay, New Jersey",1997-08-26,https://www.govinfo.gov/content/pkg/FR-1997-08-26/pdf/97-22674.pdf,https://www.federalregister.gov/documents/1997/08/26/97-22674/drawbridge-operation-regulations-ship-channel-great-egg-harbor-bay-new-jersey,,www.govinfo.gov,Rule,policy letter
97-22876,Veterans Education: Suspension and Discontinuance of Payments,1997-08-28,https://www.govinfo.gov/content/pkg/FR-1997-08-28/pdf/97-22876.pdf,https://www.federalregister.gov/documents/1997/08/28/97-22876/veterans-education-suspension-and-discontinuance-of-payments,,www.govinfo.gov,Proposed Rule,policy letter
97-23444,Commercial Fishing Industry Vessel Regulations,1997-09-04,https://www.govinfo.gov/content/pkg/FR-1997-09-04/pdf/97-23444.pdf,https://www.federalregister.gov/documents/1997/09/04/97-23444/commercial-fishing-industry-vessel-regulations,,www.govinfo.gov,Rule,policy letter
