fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
2010-18306,"Safety Zone; DEEPWATER HORIZON Response Staging Area in the Vicinity of Shell Beach, Hopedale, LA",2010-07-27,https://www.govinfo.gov/content/pkg/FR-2010-07-27/pdf/2010-18306.pdf,https://www.federalregister.gov/documents/2010/07/27/2010-18306/safety-zone-deepwater-horizon-response-staging-area-in-the-vicinity-of-shell-beach-hopedale-la,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2010-22933,"Special Local Regulations, Sabine River; Orange, TX",2010-09-15,https://www.govinfo.gov/content/pkg/FR-2010-09-15/pdf/2010-22933.pdf,https://www.federalregister.gov/documents/2010/09/15/2010-22933/special-local-regulations-sabine-river-orange-tx,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2010-28680,"Safety Zone; Beaufort River/Atlantic Intracoastal Waterway, Beaufort, SC",2010-11-12,https://www.govinfo.gov/content/pkg/FR-2010-11-12/pdf/2010-28680.pdf,https://www.federalregister.gov/documents/2010/11/12/2010-28680/safety-zone-beaufort-riveratlantic-intracoastal-waterway-beaufort-sc,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
2011-171,Safety Zone; Ice Conditions for the Baltimore Captain of Port Zone,2011-01-10,https://www.govinfo.gov/content/pkg/FR-2011-01-10/pdf/2011-171.pdf,https://www.federalregister.gov/documents/2011/01/10/2011-171/safety-zone-ice-conditions-for-the-baltimore-captain-of-port-zone,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-1980,"Safety Zone; Beaufort River/Atlantic Intracoastal Waterway, Beaufort, SC",2011-01-31,https://www.govinfo.gov/content/pkg/FR-2011-01-31/pdf/2011-1980.pdf,https://www.federalregister.gov/documents/2011/01/31/2011-1980/safety-zone-beaufort-riveratlantic-intracoastal-waterway-beaufort-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-2948,"Special Local Regulations; Krewe of Charleston Mardi Gras Boat Parade, Charleston Harbor, Charleston, SC",2011-02-11,https://www.govinfo.gov/content/pkg/FR-2011-02-11/pdf/2011-2948.pdf,https://www.federalregister.gov/documents/2011/02/11/2011-2948/special-local-regulations-krewe-of-charleston-mardi-gras-boat-parade-charleston-harbor-charleston-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-3564,"Safety Zone; Fourth Annual Offshore Challenge, Sunny Isles Beach, FL",2011-02-17,https://www.govinfo.gov/content/pkg/FR-2011-02-17/pdf/2011-3564.pdf,https://www.federalregister.gov/documents/2011/02/17/2011-3564/safety-zone-fourth-annual-offshore-challenge-sunny-isles-beach-fl,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
2011-3573,"Special Local Regulations; Patriot Challenge Kayak Race, Ashley River, Charleston, SC",2011-02-17,https://www.govinfo.gov/content/pkg/FR-2011-02-17/pdf/2011-3573.pdf,https://www.federalregister.gov/documents/2011/02/17/2011-3573/special-local-regulations-patriot-challenge-kayak-race-ashley-river-charleston-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-7872,"Safety Zones; Charleston Race Week, Charleston Harbor, Charleston, SC",2011-04-04,https://www.govinfo.gov/content/pkg/FR-2011-04-04/pdf/2011-7872.pdf,https://www.federalregister.gov/documents/2011/04/04/2011-7872/safety-zones-charleston-race-week-charleston-harbor-charleston-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-7874,"Safety Zone; Naval Air Station Corpus Christi Air Show, Oso Bay, Corpus Christi, TX",2011-04-04,https://www.govinfo.gov/content/pkg/FR-2011-04-04/pdf/2011-7874.pdf,https://www.federalregister.gov/documents/2011/04/04/2011-7874/safety-zone-naval-air-station-corpus-christi-air-show-oso-bay-corpus-christi-tx,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-7876,"Safety Zone; Texas International Boat Show Power Boat Races; Corpus Christi Marina, Corpus Christi, TX",2011-04-04,https://www.govinfo.gov/content/pkg/FR-2011-04-04/pdf/2011-7876.pdf,https://www.federalregister.gov/documents/2011/04/04/2011-7876/safety-zone-texas-international-boat-show-power-boat-races-corpus-christi-marina-corpus-christi-tx,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-9255,"Disestablishing Special Anchorage Area 2; Ashley River, Charleston, SC",2011-04-18,https://www.govinfo.gov/content/pkg/FR-2011-04-18/pdf/2011-9255.pdf,https://www.federalregister.gov/documents/2011/04/18/2011-9255/disestablishing-special-anchorage-area-2-ashley-river-charleston-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-10147,Safety Zone; Red River,2011-04-27,https://www.govinfo.gov/content/pkg/FR-2011-04-27/pdf/2011-10147.pdf,https://www.federalregister.gov/documents/2011/04/27/2011-10147/safety-zone-red-river,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-10662,"Safety Zone; Fourth Annual Offshore Challenge, Sunny Isles Beach, FL",2011-05-03,https://www.govinfo.gov/content/pkg/FR-2011-05-03/pdf/2011-10662.pdf,https://www.federalregister.gov/documents/2011/05/03/2011-10662/safety-zone-fourth-annual-offshore-challenge-sunny-isles-beach-fl,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-13175,"Special Local Regulations; Sabine River, Orange, TX",2011-05-27,https://www.govinfo.gov/content/pkg/FR-2011-05-27/pdf/2011-13175.pdf,https://www.federalregister.gov/documents/2011/05/27/2011-13175/special-local-regulations-sabine-river-orange-tx,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
2011-14922,"Safety Zone; Waterway Closure, Atchafalaya River From Mile Marker 117 (Morgan City Railroad Bridge) to Mile Marker 0 (Simmesport, LA)",2011-06-16,https://www.govinfo.gov/content/pkg/FR-2011-06-16/pdf/2011-14922.pdf,https://www.federalregister.gov/documents/2011/06/16/2011-14922/safety-zone-waterway-closure-atchafalaya-river-from-mile-marker-117-morgan-city-railroad-bridge-to,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-15583,Safety Zone; Mile Marker 98.5 West of Harvey Lock Gulf Intracoastal Waterway to Mile Marker 108.5 West of Harvey Lock Gulf Intracoastal Waterway,2011-06-22,https://www.govinfo.gov/content/pkg/FR-2011-06-22/pdf/2011-15583.pdf,https://www.federalregister.gov/documents/2011/06/22/2011-15583/safety-zone-mile-marker-985-west-of-harvey-lock-gulf-intracoastal-waterway-to-mile-marker-1085-west,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-15588,"Safety Zone; Waterway Closure, Morgan City-Port Allen Route From Mile Marker 0 to Port Allen Lock",2011-06-22,https://www.govinfo.gov/content/pkg/FR-2011-06-22/pdf/2011-15588.pdf,https://www.federalregister.gov/documents/2011/06/22/2011-15588/safety-zone-waterway-closure-morgan-city-port-allen-route-from-mile-marker-0-to-port-allen-lock,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-16096,Safety Zone; Missouri River From the Border Between Montana and North Dakota,2011-06-28,https://www.govinfo.gov/content/pkg/FR-2011-06-28/pdf/2011-16096.pdf,https://www.federalregister.gov/documents/2011/06/28/2011-16096/safety-zone-missouri-river-from-the-border-between-montana-and-north-dakota,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-16247,"Safety Zone; Big Sioux River From the Military Road Bridge North Sioux City to the Confluence of the Missouri River, SD",2011-06-29,https://www.govinfo.gov/content/pkg/FR-2011-06-29/pdf/2011-16247.pdf,https://www.federalregister.gov/documents/2011/06/29/2011-16247/safety-zone-big-sioux-river-from-the-military-road-bridge-north-sioux-city-to-the-confluence-of-the,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-18044,"Regulated Navigation Area; Chelsea Street Bridge Construction, Chelsea, MA",2011-07-19,https://www.govinfo.gov/content/pkg/FR-2011-07-19/pdf/2011-18044.pdf,https://www.federalregister.gov/documents/2011/07/19/2011-18044/regulated-navigation-area-chelsea-street-bridge-construction-chelsea-ma,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2011-19857,"Safety Zone; Apache Pier Labor Day Weekend Fireworks Display, Atlantic Ocean, Myrtle Beach, SC",2011-08-05,https://www.govinfo.gov/content/pkg/FR-2011-08-05/pdf/2011-19857.pdf,https://www.federalregister.gov/documents/2011/08/05/2011-19857/safety-zone-apache-pier-labor-day-weekend-fireworks-display-atlantic-ocean-myrtle-beach-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
