fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
06-8306,Exercise of Authority To Require Pilots To Submit Annual Physical Examinations,2006-09-28,https://www.govinfo.gov/content/pkg/FR-2006-09-28/pdf/06-8306.pdf,https://www.federalregister.gov/documents/2006/09/28/06-8306/exercise-of-authority-to-require-pilots-to-submit-annual-physical-examinations,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
06-8274,Deepwater Ports,2006-09-29,https://www.govinfo.gov/content/pkg/FR-2006-09-29/pdf/06-8274.pdf,https://www.federalregister.gov/documents/2006/09/29/06-8274/deepwater-ports,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E6-18903,Potential Revision of Mandatory Ballast Water Management Reporting Requirements,2006-11-08,https://www.govinfo.gov/content/pkg/FR-2006-11-08/pdf/E6-18903.pdf,https://www.federalregister.gov/documents/2006/11/08/E6-18903/potential-revision-of-mandatory-ballast-water-management-reporting-requirements,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
E6-20357,Ship Security Alert System Notices,2006-12-01,https://www.govinfo.gov/content/pkg/FR-2006-12-01/pdf/E6-20357.pdf,https://www.federalregister.gov/documents/2006/12/01/E6-20357/ship-security-alert-system-notices,,www.govinfo.gov,Notice,NVIC
E6-21335,Revised MARPOL Annex II and IBC Code Implementation: Publication of Guidelines,2006-12-15,https://www.govinfo.gov/content/pkg/FR-2006-12-15/pdf/E6-21335.pdf,https://www.federalregister.gov/documents/2006/12/15/E6-21335/revised-marpol-annex-ii-and-ibc-code-implementation-publication-of-guidelines,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E7-680,Potential Revision of Mandatory Ballast Water Management Reporting Requirements,2007-01-19,https://www.govinfo.gov/content/pkg/FR-2007-01-19/pdf/E7-680.pdf,https://www.federalregister.gov/documents/2007/01/19/E7-680/potential-revision-of-mandatory-ballast-water-management-reporting-requirements,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
07-18,Consolidation of Merchant Mariner Qualification Credentials,2007-01-25,https://www.govinfo.gov/content/pkg/FR-2007-01-25/pdf/07-18.pdf,https://www.federalregister.gov/documents/2007/01/25/07-18/consolidation-of-merchant-mariner-qualification-credentials,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
07-19,Transportation Worker Identification Credential (TWIC) Implementation in the Maritime Sector; Hazardous Materials Endorsement for a Commercial Driver's License,2007-01-25,https://www.govinfo.gov/content/pkg/FR-2007-01-25/pdf/07-19.pdf,https://www.federalregister.gov/documents/2007/01/25/07-19/transportation-worker-identification-credential-twic-implementation-in-the-maritime-sector-hazardous,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E7-3804,"Safety Zone; Liberty Island Conductor Removal, Sacramento River, CA",2007-03-06,https://www.govinfo.gov/content/pkg/FR-2007-03-06/pdf/E7-3804.pdf,https://www.federalregister.gov/documents/2007/03/06/E7-3804/safety-zone-liberty-island-conductor-removal-sacramento-river-ca,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
E7-6304,Towing Safety Advisory Committee,2007-04-05,https://www.govinfo.gov/content/pkg/FR-2007-04-05/pdf/E7-6304.pdf,https://www.federalregister.gov/documents/2007/04/05/E7-6304/towing-safety-advisory-committee,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E7-11637,"Safety Zone; BART Transbay Tube Seismic Upgrade; San Francisco, CA",2007-06-18,https://www.govinfo.gov/content/pkg/FR-2007-06-18/pdf/E7-11637.pdf,https://www.federalregister.gov/documents/2007/06/18/E7-11637/safety-zone-bart-transbay-tube-seismic-upgrade-san-francisco-ca,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E7-13368,Transportation Worker Identification Credential (TWIC) Implementation in the Maritime Sector; Navigation and Vessel Inspection Circular (NVIC),2007-07-10,https://www.govinfo.gov/content/pkg/FR-2007-07-10/pdf/E7-13368.pdf,https://www.federalregister.gov/documents/2007/07/10/E7-13368/transportation-worker-identification-credential-twic-implementation-in-the-maritime-sector,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
07-3447,Transportation Worker Identification Credential (TWIC) Implementation in the Maritime Sector; Hazardous Materials Endorsement for a Commercial Driver's License,2007-07-13,https://www.govinfo.gov/content/pkg/FR-2007-07-13/pdf/07-3447.pdf,https://www.federalregister.gov/documents/2007/07/13/07-3447/transportation-worker-identification-credential-twic-implementation-in-the-maritime-sector-hazardous,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
07-4319,Towing Safety Advisory Committee,2007-09-04,https://www.govinfo.gov/content/pkg/FR-2007-09-04/pdf/07-4319.pdf,https://www.federalregister.gov/documents/2007/09/04/07-4319/towing-safety-advisory-committee,,www.govinfo.gov,Notice,NVIC
E7-17568,Merchant Marine Personnel Advisory Committee,2007-09-06,https://www.govinfo.gov/content/pkg/FR-2007-09-06/pdf/E7-17568.pdf,https://www.federalregister.gov/documents/2007/09/06/E7-17568/merchant-marine-personnel-advisory-committee,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E7-17803,Towing Safety Advisory Committee,2007-09-11,https://www.govinfo.gov/content/pkg/FR-2007-09-11/pdf/E7-17803.pdf,https://www.federalregister.gov/documents/2007/09/11/E7-17803/towing-safety-advisory-committee,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
07-4750,Transportation Worker Identification Credential (TWIC) Implementation in the Maritime Sector; Hazardous Materials Endorsement for a Commercial Driver's License,2007-09-28,https://www.govinfo.gov/content/pkg/FR-2007-09-28/pdf/07-4750.pdf,https://www.federalregister.gov/documents/2007/09/28/07-4750/transportation-worker-identification-credential-twic-implementation-in-the-maritime-sector-hazardous,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
07-4895,Long Range Identification and Tracking of Ships,2007-10-03,https://www.govinfo.gov/content/pkg/FR-2007-10-03/pdf/07-4895.pdf,https://www.federalregister.gov/documents/2007/10/03/07-4895/long-range-identification-and-tracking-of-ships,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
